City,Amsterdam,Vienna,Salzburg,Brussels,Antwerp,Sofia,Zagreb,Prague,Copenhagen,Tallinn,Helsinki,Paris,Lyon,Lille,Montpellier,Athens,Budapest,Reykjavik,Dublin,Milan,Rome,Naples,Turin,Venice,Riga,Vilnius,Luxembourg,Skopje,Rotterdam,Eindhoven,Oslo,Warsaw,Lisbon,Bucharest,Cluj-Napoca,Belgrade,Bratislava,Ljubljana,Madrid,Valencia,Seville,Bilbao,Stockholm,Zurich,Sarajevo,Istanbul,London,Munich,Bremen,Nuremberg
Reykjavik,4.44,6.29,6.19,4.75,4.55,8.2,6.89,5.71,4.61,5.31,5.29,5.0,5.67,4.66,6.17,9.04,6.79,0.0,3.31,6.23,7.05,7.45,6.06,6.51,5.74,6.16,5.13,8.21,4.55,4.64,3.78,6.07,6.4,8.11,7.4,7.49,6.39,6.59,6.46,6.87,7.06,5.76,4.66,5.72,7.5,9.03,3.99,5.8,4.55,5.6
Dublin,1.67,3.64,3.34,1.7,1.59,5.48,4.04,3.14,2.64,4.34,4.5,1.75,2.46,1.56,2.87,6.15,4.2,3.31,0.0,3.11,3.9,4.32,2.87,3.5,4.32,4.51,2.1,5.36,1.59,1.74,2.87,4.03,3.49,5.61,4.91,4.75,3.79,3.76,3.24,3.59,3.94,2.51,3.59,2.66,4.62,6.49,0.93,2.92,2.07,2.8
Milan,1.84,1.4,0.84,1.49,1.69,2.6,1.22,1.49,2.51,4.11,4.38,1.4,0.73,1.58,1.17,3.1,1.78,6.23,3.11,0.0,0.82,1.22,0.35,0.52,3.57,3.37,1.11,2.37,1.69,1.62,3.71,2.6,3.6,2.99,2.43,1.95,1.54,1.06,2.5,2.21,3.26,2.18,3.7,0.52,1.67,3.72,2.26,0.81,1.98,1.04
Rome,2.66,1.71,1.28,2.3,2.51,2.19,1.16,2.04,3.21,4.64,4.91,2.15,1.45,2.4,1.47,2.47,1.87,7.05,3.9,0.82,0.0,0.44,1.03,0.76,4.02,3.74,1.93,1.86,2.51,2.44,4.43,2.98,3.81,2.74,2.34,1.69,1.81,1.21,2.65,2.19,3.27,2.55,4.32,1.34,1.29,3.32,3.07,1.48,2.75,1.72
Naples,3.03,1.8,1.48,2.7,2.9,1.86,1.12,2.22,3.45,4.75,5.02,2.58,1.88,2.8,1.89,2.04,1.82,7.45,4.32,1.22,0.44,0.0,1.46,1.0,4.1,3.76,2.31,1.49,2.9,2.81,4.69,3.03,4.17,2.47,2.17,1.47,1.86,1.28,3.0,2.5,3.58,2.96,4.5,1.72,1.04,2.97,3.48,1.76,3.07,2.0
Turin,1.75,1.69,1.14,1.33,1.56,2.95,1.57,1.69,2.59,4.28,4.54,1.12,0.42,1.4,0.86,3.41,2.11,6.06,2.87,0.35,1.03,1.46,0.0,0.87,3.78,3.62,1.0,2.7,1.56,1.51,3.74,2.85,3.27,3.34,2.77,2.29,1.85,1.4,2.19,1.95,2.97,1.84,3.82,0.52,2.01,4.07,2.07,1.0,1.98,1.19
Venice,2.07,1.0,0.52,1.81,1.98,2.1,0.7,1.28,2.46,3.89,4.16,1.85,1.23,1.94,1.67,2.66,1.29,6.51,3.5,0.52,0.76,1.0,0.87,0.0,3.29,3.03,1.41,1.9,1.98,1.87,3.7,2.26,4.1,2.47,1.91,1.43,1.12,0.57,2.98,2.64,3.71,2.7,3.56,0.84,1.17,3.21,2.6,0.76,2.07,1.0
Riga,2.91,2.31,2.78,3.3,3.16,3.45,2.98,2.09,1.69,0.74,0.99,3.85,3.82,3.43,4.61,4.44,2.34,5.74,4.32,3.57,4.02,4.1,3.78,3.29,0.0,0.51,3.19,3.73,3.16,3.03,1.96,1.08,6.8,2.97,2.47,3.02,2.24,2.83,5.87,5.73,6.7,5.32,1.08,3.29,3.34,3.78,3.59,2.78,2.4,2.59
Vilnius,2.99,2.03,2.54,3.32,3.22,2.97,2.64,1.93,1.87,1.24,1.48,3.84,3.71,3.46,4.47,3.95,1.96,6.16,4.51,3.37,3.74,3.76,3.62,3.03,0.51,0.0,3.15,3.27,3.22,3.08,2.38,0.77,6.75,2.47,2.0,2.59,1.93,2.52,5.77,5.57,6.57,5.26,1.55,3.16,2.94,3.27,3.72,2.62,2.5,2.47
Luxembourg,0.76,1.65,1.25,0.4,0.59,3.39,1.94,1.3,1.73,3.56,3.81,0.7,0.76,0.54,1.56,4.05,2.2,5.13,2.1,1.11,1.93,2.31,1.0,1.41,3.19,3.15,0.0,3.26,0.59,0.52,2.8,2.46,3.61,3.59,2.92,2.67,1.81,1.67,2.72,2.68,3.55,2.13,3.0,0.59,2.52,4.44,1.19,0.85,1.03,0.81
Skopje,3.82,1.93,2.05,3.66,3.79,0.44,1.33,2.52,3.75,4.46,4.72,3.74,3.11,3.8,3.32,0.83,1.52,8.21,5.36,2.37,1.86,1.49,2.7,1.9,3.73,3.27,3.26,0.0,3.79,3.67,4.92,2.71,5.65,1.17,1.28,0.76,1.86,1.63,4.49,3.98,5.05,4.4,4.46,2.73,0.74,1.49,4.45,2.46,3.66,2.63
Rotterdam,0.29,2.05,1.75,0.25,0.0,3.89,2.46,1.58,1.54,3.42,3.65,0.81,1.24,0.29,1.98,4.6,2.61,4.55,1.59,1.69,2.51,2.9,1.56,1.98,3.16,3.22,0.59,3.79,0.0,0.15,2.42,2.61,3.71,4.03,3.32,3.16,2.2,2.17,2.96,3.04,3.79,2.29,2.78,1.18,3.06,4.9,0.66,1.34,0.78,1.21
Eindhoven,0.25,1.91,1.62,0.29,0.15,3.76,2.33,1.43,1.43,3.31,3.54,0.88,1.23,0.4,2.0,4.48,2.46,4.64,1.74,1.62,2.44,2.81,1.51,1.87,3.03,3.08,0.52,3.67,0.15,0.0,2.37,2.46,3.82,3.88,3.17,3.02,2.05,2.04,3.04,3.08,3.87,2.38,2.68,1.1,2.93,4.76,0.8,1.21,0.67,1.07
Oslo,2.13,3.04,3.21,2.65,2.42,4.79,3.77,2.5,1.24,1.64,1.72,3.22,3.56,2.71,4.36,5.73,3.4,3.78,2.87,3.71,4.43,4.69,3.74,3.7,1.96,2.38,2.8,4.92,2.42,2.37,0.0,2.4,6.03,4.53,3.87,4.16,3.08,3.5,5.38,5.45,6.2,4.68,0.91,3.23,4.32,5.42,2.48,2.96,1.77,2.71
Warsaw,2.42,1.26,1.77,2.67,2.61,2.49,1.91,1.19,1.51,1.77,2.04,3.15,2.97,2.83,3.71,3.47,1.27,6.07,4.03,2.6,2.98,3.03,2.85,2.26,1.08,0.77,2.46,2.71,2.61,2.46,2.4,0.0,6.02,2.13,1.51,1.98,1.17,1.77,5.02,4.8,5.82,4.54,1.77,2.41,2.27,3.03,3.17,1.86,1.96,1.73
Lisbon,4.0,4.96,4.4,3.53,3.71,6.0,4.79,4.83,5.25,7.13,7.36,2.96,3.06,3.42,2.44,6.14,5.38,6.4,3.49,3.6,3.81,4.17,3.27,4.1,6.8,6.75,3.61,5.65,3.71,3.82,6.03,6.02,0.0,6.52,6.01,5.46,5.11,4.66,1.17,1.72,0.92,1.49,6.49,3.63,5.09,7.13,3.55,4.19,4.49,4.29
Bucharest,3.96,1.97,2.36,3.96,4.03,0.73,1.77,2.49,3.5,3.71,3.94,4.2,3.68,4.12,4.1,1.58,1.42,8.11,5.61,2.99,2.74,2.47,3.34,2.47,2.97,2.47,3.59,1.17,4.03,3.88,4.53,2.13,6.52,0.0,0.72,1.06,1.83,1.98,5.37,4.93,6.02,5.16,3.89,3.19,1.45,0.92,4.68,2.74,3.66,2.82
Cluj-Napoca,3.25,1.27,1.71,3.27,3.32,0.99,1.23,1.78,2.8,3.21,3.46,3.55,3.07,3.43,3.58,1.97,0.72,7.4,4.91,2.43,2.34,2.17,2.77,1.91,2.47,2.0,2.92,1.28,3.32,3.17,3.87,1.51,6.01,0.72,0.0,0.72,1.12,1.37,4.89,4.5,5.58,4.61,3.29,2.55,1.15,1.63,3.98,2.07,2.94,2.13
Belgrade,3.15,1.2,1.42,3.06,3.16,0.73,0.74,1.79,2.99,3.74,4.01,3.22,2.65,3.2,3.04,1.58,0.76,7.49,4.75,1.95,1.69,1.47,2.29,1.43,3.02,2.59,2.67,0.76,3.16,3.02,4.16,1.98,5.46,1.06,0.72,0.0,1.11,1.0,4.31,3.88,4.97,4.1,3.71,2.2,0.43,1.79,3.82,1.83,2.95,1.96
Bratislava,2.14,0.16,0.71,2.15,2.2,1.81,0.76,0.69,1.89,2.89,3.17,2.47,2.07,2.31,2.71,2.69,0.41,6.39,3.79,1.54,1.81,1.86,1.85,1.12,2.24,1.93,1.81,1.86,2.2,2.05,3.08,1.17,5.11,1.83,1.12,1.11,0.0,0.6,4.04,3.75,4.8,3.65,2.71,1.52,1.24,2.72,2.86,0.99,1.87,1.01
Ljubljana,2.19,0.52,0.42,2.06,2.17,1.72,0.3,1.0,2.27,3.47,3.74,2.24,1.71,2.21,2.23,2.45,0.72,6.59,3.76,1.06,1.21,1.28,1.4,0.57,2.83,2.52,1.67,1.63,2.17,2.04,3.5,1.77,4.66,1.98,1.37,1.0,0.6,0.0,3.55,3.22,4.29,3.24,3.23,1.21,0.91,2.78,2.83,0.83,2.05,0.99
Madrid,3.25,3.88,3.33,2.75,2.96,4.84,3.65,3.84,4.44,6.28,6.53,2.16,2.06,2.67,1.33,4.98,4.27,6.46,3.24,2.5,2.65,3.0,2.19,2.98,5.87,5.77,2.72,4.49,2.96,3.04,5.38,5.02,1.17,5.37,4.89,4.31,4.04,3.55,0.0,0.62,0.83,0.74,5.71,2.61,3.93,5.96,3.0,3.16,3.7,3.3
Valencia,3.31,3.6,3.05,2.8,3.04,4.36,3.27,3.65,4.41,6.2,6.46,2.24,1.95,2.76,1.13,4.43,3.93,6.87,3.59,2.21,2.19,2.5,1.95,2.64,5.73,5.57,2.68,3.98,3.04,3.08,5.45,4.8,1.72,4.93,4.5,3.88,3.75,3.22,0.62,0.0,1.09,1.13,5.68,2.44,3.48,5.47,3.2,2.96,3.7,3.13
Seville,4.08,4.65,4.1,3.58,3.79,5.44,4.35,4.64,5.27,7.11,7.36,2.99,2.88,3.5,2.11,5.46,5.01,7.06,3.94,3.26,3.27,3.58,2.97,3.71,6.7,6.57,3.55,5.05,3.79,3.87,6.2,5.82,0.92,6.02,5.58,4.97,4.8,4.29,0.83,1.09,0.0,1.52,6.54,3.42,4.57,6.54,3.79,3.96,4.53,4.11
Bilbao,2.58,3.49,2.95,2.09,2.29,4.71,3.39,3.35,3.81,5.68,5.91,1.5,1.59,2.0,1.08,5.0,3.94,5.76,2.51,2.18,2.55,2.96,1.84,2.7,5.32,5.26,2.13,4.4,2.29,2.38,4.68,4.54,1.49,5.16,4.61,4.1,3.65,3.24,0.74,1.13,1.52,0.0,5.07,2.15,3.77,5.84,2.27,2.71,3.05,2.81
Stockholm,2.49,2.72,3.04,2.98,2.78,4.26,3.46,2.29,1.27,0.76,0.91,3.56,3.73,3.07,4.55,5.23,2.96,4.66,3.59,3.7,4.32,4.5,3.82,3.56,1.08,1.55,3.0,4.46,2.78,2.68,0.91,1.77,6.49,3.89,3.29,3.71,2.71,3.23,5.71,5.68,6.54,5.07,0.0,3.3,3.94,4.75,3.03,2.89,2.02,2.66
Zurich,1.32,1.35,0.84,0.99,1.18,2.9,1.45,1.23,2.06,3.77,4.03,1.03,0.57,1.1,1.31,3.5,1.85,5.72,2.66,0.52,1.34,1.72,0.52,0.84,3.29,3.16,0.59,2.73,1.18,1.1,3.23,2.41,3.63,3.19,2.55,2.2,1.52,1.21,2.61,2.44,3.42,2.15,3.3,0.0,2.0,3.99,1.77,0.56,1.48,0.7
Sarajevo,3.09,1.28,1.31,2.93,3.06,0.94,0.61,1.85,3.11,4.04,4.32,3.02,2.4,3.06,2.7,1.55,1.0,7.5,4.62,1.67,1.29,1.04,2.01,1.17,3.34,2.94,2.52,0.74,3.06,2.93,4.32,2.27,5.09,1.45,1.15,0.43,1.24,0.91,3.93,3.48,4.57,3.77,3.94,2.0,0.0,2.07,3.71,1.72,2.96,1.9
Istanbul,4.85,2.85,3.19,4.82,4.9,1.13,2.54,3.4,4.42,4.5,4.72,5.01,4.44,4.97,4.76,1.36,2.3,9.03,6.49,3.72,3.32,2.97,4.07,3.21,3.78,3.27,4.44,1.49,4.9,4.76,5.42,3.03,7.13,0.92,1.63,1.79,2.72,2.78,5.96,5.47,6.54,5.84,4.75,3.99,2.07,0.0,5.56,3.59,4.57,3.69
London,0.76,2.71,2.41,0.79,0.66,4.55,3.12,2.22,1.9,3.74,3.93,1.03,1.68,0.68,2.27,5.24,3.27,3.99,0.93,2.26,3.07,3.48,2.07,2.6,3.59,3.72,1.19,4.45,0.66,0.8,2.48,3.17,3.55,4.68,3.98,3.82,2.86,2.83,3.0,3.2,3.79,2.27,3.03,1.77,3.71,5.56,0.0,2.0,1.22,1.87
Munich,1.37,0.82,0.41,1.23,1.34,2.55,1.12,0.69,1.73,3.3,3.57,1.48,1.12,1.38,1.85,3.27,1.35,5.8,2.92,0.81,1.48,1.76,1.0,0.76,2.78,2.62,0.85,2.46,1.34,1.21,2.96,1.86,4.19,2.74,2.07,1.83,0.99,0.83,3.16,2.96,3.96,2.71,2.89,0.56,1.72,3.59,2.0,0.0,1.32,0.25
Bremen,0.51,1.75,1.68,0.96,0.78,3.67,2.35,1.18,0.76,2.64,2.87,1.55,1.79,1.06,2.6,4.49,2.28,4.55,2.07,1.98,2.75,3.07,1.98,2.07,2.4,2.5,1.03,3.66,0.78,0.67,1.77,1.96,4.49,3.66,2.94,2.95,1.87,2.05,3.7,3.7,4.53,3.05,2.02,1.48,2.96,4.57,1.22,1.32,0.0,1.09
Nuremberg,1.19,0.85,0.59,1.15,1.21,2.69,1.29,0.54,1.49,3.09,3.35,1.49,1.24,1.3,2.01,3.45,1.41,5.6,2.8,1.04,1.72,2.0,1.19,1.0,2.59,2.47,0.81,2.63,1.21,1.07,2.71,1.73,4.29,2.82,2.13,1.96,1.01,0.99,3.3,3.13,4.11,2.81,2.66,0.7,1.9,3.69,1.87,0.25,1.09,0.0
