City,Amsterdam,Vienna,Salzburg,Brussels,Antwerp,Sofia,Zagreb,Prague,Copenhagen,Tallinn,Helsinki,Paris,Lyon,Lille,Montpellier,Athens,Budapest,Reykjavik,Dublin,Milan,Rome,Naples,Turin,Venice,Riga,Vilnius,Luxembourg,Skopje,Rotterdam,Eindhoven,Oslo,Warsaw,Lisbon,Bucharest,Cluj-Napoca,Belgrade,Bratislava,Ljubljana,Madrid,Valencia,Seville,Bilbao,Stockholm,Zurich,Sarajevo,Istanbul,London,Munich,Bremen,Nuremberg
Helsinki,289.46,277.26,313.1,329.15,313.72,382.24,337.6,249.79,181.58,23.76,0.0,379.4,388.0,338.34,457.94,466.87,285.32,454.77,387.16,376.71,422.56,432.23,390.8,357.83,85.48,127.08,327.81,405.95,313.72,304.45,148.04,175.91,632.85,339.22,297.66,344.95,272.59,322.02,561.64,555.31,633.2,508.6,78.15,346.78,371.31,405.95,338.25,306.9,246.83,288.53
Paris,94.06,198.19,158.72,50.67,69.25,337.95,213.48,171.86,198.08,359.22,379.4,0.0,60.61,44.59,106.96,386.31,243.74,429.89,150.9,120.22,185.07,222.37,96.69,158.93,331.14,330.08,60.01,321.95,69.25,75.83,277.26,271.34,254.31,361.63,305.4,277.38,212.31,192.3,185.73,193.12,257.16,129.3,306.57,88.43,259.49,431.36,89.0,127.51,133.16,128.03
Lyon,127.12,164.33,118.52,85.92,106.89,286.39,164.58,153.0,212.48,366.04,388.0,60.61,0.0,89.35,70.37,329.08,204.99,488.11,211.46,63.05,124.6,162.14,36.48,106.05,328.32,319.11,65.15,267.12,106.89,105.93,306.01,255.36,263.62,316.47,264.34,228.31,178.29,147.07,177.38,167.53,247.65,136.49,321.18,48.61,206.19,382.08,144.79,96.46,153.9,106.7
Lille,50.06,185.33,153.94,13.53,25.11,338.1,213.69,149.66,156.92,318.85,338.34,44.59,89.35,0.0,148.3,394.7,232.92,400.98,134.51,136.28,206.11,241.23,120.42,166.58,294.83,297.82,46.39,326.95,25.11,34.28,232.71,243.05,294.51,354.05,294.89,275.7,198.83,189.75,229.95,237.36,301.19,172.06,264.2,94.69,263.52,427.61,58.3,118.92,91.55,112.04
Montpellier,192.79,219.79,171.86,149.01,170.1,312.38,202.36,218.05,282.81,435.8,457.94,106.96,70.37,148.3,0.0,338.2,253.68,530.93,246.88,100.79,126.69,162.9,74.22,143.47,396.19,384.21,134.54,285.98,170.1,171.92,374.66,319.08,209.5,352.95,307.96,261.64,232.85,191.92,114.42,97.36,181.54,92.95,391.55,113.05,232.11,409.89,195.4,159.01,223.26,173.08
Athens,398.67,237.77,246.07,383.33,395.64,84.74,185.13,288.39,393.18,445.08,466.87,386.31,329.08,394.7,338.2,0.0,200.58,777.39,529.2,266.51,212.14,175.27,293.25,228.67,381.61,340.22,348.64,71.47,395.64,385.09,493.24,298.08,528.26,135.84,169.49,135.84,231.18,210.93,428.69,380.92,469.33,430.15,450.11,301.18,133.02,116.83,451.14,281.21,386.38,296.43
Budapest,219.32,47.88,86.67,219.52,224.54,121.94,61.19,94.69,193.26,261.92,285.32,243.74,204.99,232.92,253.68,200.58,0.0,584.33,361.15,153.03,160.58,156.48,181.42,111.34,201.62,168.77,188.84,130.71,224.54,211.81,292.79,109.36,462.7,121.77,62.05,65.27,35.61,62.05,367.57,338.4,430.67,339.05,254.54,158.81,86.06,198.18,281.03,116.39,196.09,120.99
Reykjavik,382.22,541.34,532.85,408.54,391.18,705.62,592.81,490.9,396.51,456.66,454.77,429.89,488.11,400.98,530.93,777.39,584.33,0.0,284.62,536.27,606.68,640.62,521.18,559.86,493.56,530.16,441.51,706.12,391.18,399.05,325.52,522.37,550.65,697.48,636.64,644.46,550.05,566.94,555.48,591.31,607.29,495.34,401.19,492.49,644.97,776.41,343.53,499.0,391.08,481.91
Dublin,143.3,313.32,287.1,146.23,136.99,471.35,347.59,270.35,227.45,373.66,387.16,150.9,211.46,134.51,246.88,529.2,361.15,284.62,0.0,267.77,335.33,372.02,247.05,300.87,371.46,388.1,180.73,461.34,136.99,149.43,246.83,346.81,299.8,482.9,422.22,408.62,325.87,323.13,278.81,309.2,339.3,216.04,309.24,228.53,397.83,558.5,80.2,251.58,178.22,241.27
Milan,158.52,120.22,72.52,127.77,145.46,224.01,104.83,127.77,215.71,353.54,376.71,120.22,63.05,136.28,100.79,266.51,153.03,536.27,267.77,0.0,70.59,104.96,29.96,44.94,307.17,290.05,95.17,204.07,145.46,139.14,318.8,223.93,309.72,257.28,208.7,167.43,132.76,91.56,214.98,190.15,280.11,187.53,318.32,44.85,143.47,320.34,194.53,69.92,170.05,89.53
Rome,228.72,147.47,110.15,198.14,216.05,188.78,99.65,175.11,275.77,398.88,422.56,185.07,124.6,206.11,126.69,212.14,160.58,606.68,335.33,70.59,0.0,38.16,88.4,65.39,346.03,321.3,165.76,159.99,216.05,209.62,381.35,255.92,327.61,235.9,201.29,145.66,155.58,104.41,227.55,188.05,281.64,219.45,371.92,115.2,111.34,285.87,264.23,127.12,236.91,148.3
Naples,260.25,155.04,127.12,232.48,249.44,159.99,96.64,191.29,296.94,408.47,432.23,222.37,162.14,241.23,162.9,175.27,156.48,640.62,372.02,104.96,38.16,0.0,125.73,86.15,352.33,323.6,199.11,127.87,249.44,242.05,403.39,260.25,358.59,212.51,186.42,126.41,160.09,110.29,258.27,214.98,307.6,255.04,387.12,148.13,89.38,255.47,299.49,151.34,264.13,172.1
Turin,150.92,145.71,97.91,114.32,134.01,253.5,134.76,145.68,222.39,368.06,390.8,96.69,36.48,120.42,74.22,293.25,181.42,521.18,247.05,29.96,88.4,125.73,0.0,74.89,325.1,311.06,85.96,232.51,134.01,130.13,321.81,245.52,281.48,287.23,238.13,197.37,158.93,120.62,188.51,168.11,255.51,158.06,328.5,44.85,172.81,350.06,177.72,86.25,170.05,102.54
Venice,177.72,86.25,44.85,155.85,170.16,180.42,59.92,109.72,211.86,334.21,357.83,158.93,106.05,166.58,143.47,228.67,111.34,559.86,300.87,44.94,65.39,86.15,74.89,0.0,282.79,260.64,121.16,163.04,170.16,161.11,318.04,194.53,352.96,212.34,164.58,122.68,96.69,49.33,256.62,227.34,319.35,232.14,306.45,72.52,100.75,276.09,223.93,65.21,178.34,85.96
Riga,250.35,198.74,238.99,283.53,272.15,296.92,256.38,179.71,145.36,63.56,85.48,331.14,328.32,294.83,396.19,381.61,201.62,493.56,371.46,307.17,346.03,352.33,325.1,282.79,0.0,44.08,274.23,320.49,272.15,260.72,168.35,92.59,584.74,255.66,212.27,259.89,192.29,243.03,505.39,492.75,575.97,457.56,93.23,283.16,287.26,325.24,308.88,239.01,206.3,223.19
Vilnius,257.6,174.55,218.89,285.49,277.08,255.78,226.96,166.37,161.09,106.51,127.08,330.08,319.11,297.82,384.21,340.22,168.77,530.16,388.1,290.05,321.3,323.6,311.06,260.64,44.08,0.0,270.98,281.19,277.08,264.68,204.87,66.29,580.46,212.31,171.64,222.83,165.73,216.99,496.25,479.07,565.5,452.54,133.72,271.83,252.62,281.19,319.85,225.21,214.75,212.33
Luxembourg,64.97,141.95,107.85,34.73,50.37,291.82,167.31,112.04,149.15,306.6,327.81,60.01,65.15,46.39,134.54,348.64,188.84,441.51,180.73,95.17,165.76,199.11,85.96,121.16,274.23,270.98,0.0,280.62,50.37,44.51,240.86,211.45,310.63,309.2,250.89,229.53,155.73,143.52,233.85,230.57,305.38,183.35,258.42,50.98,217.18,381.93,102.79,73.3,88.83,69.54
Skopje,328.4,166.35,175.95,315.13,326.45,38.16,114.77,216.94,322.26,383.44,405.95,321.95,267.12,326.95,285.98,71.47,130.71,706.12,461.34,204.07,159.99,127.87,232.51,163.04,320.49,281.19,280.62,0.0,326.45,315.52,423.39,233.05,486.32,100.66,110.29,65.45,160.09,140.36,386.0,342.6,434.69,378.93,383.44,234.93,63.45,127.87,382.49,211.4,315.06,225.82
Rotterdam,24.96,176.67,150.93,21.19,0.0,334.76,211.93,136.31,132.47,294.46,313.72,69.25,106.89,25.11,170.1,395.64,224.54,391.18,136.99,145.46,216.05,249.44,134.01,170.16,272.15,277.08,50.37,326.45,0.0,13.33,208.09,224.69,319.26,346.29,285.97,271.95,189.52,186.96,254.9,261.1,326.21,197.17,239.24,101.32,263.13,421.53,56.84,115.32,67.2,104.26
Eindhoven,21.19,163.95,139.68,25.11,13.33,323.03,200.82,123.04,122.97,284.76,304.45,75.83,105.93,34.28,171.92,385.09,211.81,399.05,149.43,139.14,209.62,242.05,130.13,161.11,260.72,264.68,44.51,315.52,13.33,0.0,203.61,211.64,328.43,333.58,273.1,260.16,176.67,175.61,261.21,264.88,332.76,204.89,230.91,94.43,252.33,409.09,69.25,104.13,57.67,92.0
Oslo,183.61,261.56,276.54,228.0,208.09,412.05,324.04,214.92,106.54,141.14,148.04,277.26,306.01,232.71,374.66,493.24,292.79,325.52,246.83,318.8,381.35,403.39,321.81,318.04,168.35,204.87,240.86,423.39,208.09,203.61,0.0,206.31,518.52,389.32,332.56,357.96,264.72,300.82,462.41,468.49,533.29,402.82,78.15,277.93,371.31,466.53,213.22,254.23,152.35,233.05
Warsaw,208.27,108.66,152.62,230.03,224.69,213.8,163.98,102.44,129.87,152.57,175.91,271.34,255.36,243.05,319.08,298.08,109.36,522.37,346.81,223.93,255.92,260.25,245.52,194.53,92.59,66.29,211.45,233.05,224.69,211.64,206.31,0.0,518.16,183.6,130.11,170.08,100.71,151.92,431.88,413.31,500.59,390.27,152.57,207.44,195.4,260.25,272.96,160.24,168.76,148.83
Lisbon,343.8,426.29,378.91,303.9,319.26,516.38,411.69,415.76,451.38,613.14,632.85,254.31,263.62,294.51,209.5,528.26,462.7,550.65,299.8,309.72,327.61,358.59,281.48,352.96,584.74,580.46,310.63,486.32,319.26,328.43,518.52,518.16,0.0,560.99,517.44,469.58,439.94,401.21,100.33,148.04,79.08,127.94,558.34,312.19,437.96,613.3,305.58,360.07,386.02,369.37
Bucharest,340.77,169.63,202.95,340.77,346.29,62.88,152.49,214.54,301.21,318.85,339.22,361.63,316.47,354.05,352.95,135.84,121.77,697.48,482.9,257.28,235.9,212.51,287.23,212.34,255.66,212.31,309.2,100.66,346.29,333.58,389.32,183.6,560.99,0.0,61.76,91.42,157.09,169.99,461.9,423.99,517.51,443.87,334.28,274.08,124.61,78.95,402.8,235.98,315.09,242.48
Cluj-Napoca,279.6,109.61,147.26,281.47,285.97,84.74,106.05,153.0,240.93,275.71,297.66,305.4,264.34,294.89,307.96,169.49,62.05,636.64,422.22,208.7,201.29,186.42,238.13,164.58,212.27,171.64,250.89,110.29,285.97,273.1,332.56,130.11,517.44,61.76,0.0,61.76,96.46,117.69,420.25,386.91,480.33,396.17,282.67,219.44,98.7,140.36,342.21,178.29,253.33,182.9
Belgrade,271.03,103.15,121.77,263.06,271.95,62.88,64.04,153.75,257.34,322.0,344.95,277.38,228.31,275.7,261.64,135.84,65.27,644.46,408.62,167.43,145.66,126.41,197.37,122.68,259.89,222.83,229.53,65.45,271.95,260.16,357.96,170.08,469.58,91.42,61.76,0.0,95.54,86.03,370.59,333.57,427.16,352.95,318.85,189.01,37.33,154.17,328.7,157.09,253.76,168.47
Bratislava,183.77,14.18,61.04,185.33,189.52,155.58,65.21,59.44,162.2,248.86,272.59,212.31,178.29,198.83,232.85,231.18,35.61,550.05,325.87,132.76,155.58,160.09,158.93,96.69,192.29,165.73,155.73,160.09,189.52,176.67,264.72,100.71,439.94,157.09,96.46,95.54,0.0,51.28,347.27,322.26,412.86,314.22,233.38,130.47,106.96,233.79,245.83,85.04,160.82,86.83
Ljubljana,188.05,44.77,36.05,177.23,186.96,148.36,25.87,85.92,194.87,298.26,322.02,192.3,147.07,189.75,191.92,210.93,62.05,566.94,323.13,91.56,104.41,110.29,120.62,49.33,243.03,216.99,143.52,140.36,186.96,175.61,300.82,151.92,401.21,169.99,117.69,86.03,51.28,0.0,305.6,276.6,368.67,278.67,278.05,104.22,78.06,239.36,243.49,71.65,176.65,85.55
Madrid,279.77,334.19,286.34,236.14,254.9,416.26,314.22,329.92,381.75,540.44,561.64,185.73,177.38,229.95,114.42,428.69,367.57,555.48,278.81,214.98,227.55,258.27,188.51,256.62,505.39,496.25,233.85,386.0,254.9,261.21,462.41,431.88,100.33,461.9,420.25,370.59,347.27,305.6,0.0,53.35,71.68,63.56,490.97,224.45,338.29,513.06,257.98,271.77,317.91,283.98
Valencia,285.08,310.11,262.64,240.66,261.1,374.77,281.48,313.72,379.52,533.14,555.31,193.12,167.53,237.36,97.36,380.92,338.4,591.31,309.2,190.15,188.05,214.98,168.11,227.34,492.75,479.07,230.57,342.6,261.1,264.88,468.49,413.31,148.04,423.99,386.91,333.57,322.26,276.6,53.35,0.0,93.59,97.36,488.53,209.74,299.35,470.39,275.42,254.31,318.64,269.58
Seville,351.12,400.24,352.48,307.67,326.21,467.58,374.6,399.23,453.43,611.91,633.2,257.16,247.65,301.19,181.54,469.33,430.67,607.29,339.3,280.11,281.64,307.6,255.51,319.35,575.97,565.5,305.38,434.69,326.21,332.76,533.29,500.59,79.08,517.51,480.33,427.16,412.86,368.67,71.68,93.59,0.0,131.18,562.65,293.82,392.83,562.56,326.45,340.45,389.56,353.69
Bilbao,222.11,300.41,253.68,179.87,197.17,405.05,291.95,287.9,327.33,488.2,508.6,129.3,136.49,172.06,92.95,430.15,339.05,495.34,216.04,187.53,219.45,255.04,158.06,232.14,457.56,452.54,183.35,378.93,197.17,204.89,402.82,390.27,127.94,443.87,396.17,352.95,314.22,278.67,63.56,97.36,131.18,0.0,435.8,185.07,324.53,502.54,195.4,232.85,262.43,241.53
Stockholm,214.54,234.38,261.92,255.94,239.24,366.16,297.72,196.83,109.34,65.54,78.15,306.57,321.18,264.2,391.55,450.11,254.54,401.19,309.24,318.32,371.92,387.12,328.5,306.45,93.23,133.72,258.42,383.44,239.24,230.91,78.15,152.57,558.34,334.28,282.67,318.85,233.38,278.05,490.97,488.53,562.65,435.8,0.0,283.71,338.98,408.47,260.7,248.86,173.41,228.8
Zurich,113.75,116.41,72.23,84.79,101.32,249.6,125.06,105.46,177.57,324.22,346.78,88.43,48.61,94.69,113.05,301.18,158.81,492.49,228.53,44.85,115.2,148.13,44.85,72.52,283.16,271.83,50.98,234.93,101.32,94.43,277.93,207.44,312.19,274.08,219.44,189.01,130.47,104.22,224.45,209.74,293.82,185.07,283.71,0.0,171.93,343.03,152.62,47.88,127.08,60.02
Sarajevo,265.6,110.0,113.05,251.68,263.13,80.91,52.19,159.3,267.32,347.95,371.31,259.49,206.19,263.52,232.11,133.02,86.06,644.97,397.83,143.47,111.34,89.38,172.81,100.75,287.26,252.62,217.18,63.45,263.13,252.33,371.31,195.4,437.96,124.61,98.7,37.33,106.96,78.06,338.29,299.35,392.83,324.53,338.98,171.93,0.0,178.15,319.08,148.29,254.39,163.47
Istanbul,417.42,245.59,274.27,414.6,421.53,97.51,218.21,292.24,380.07,387.12,405.95,431.36,382.08,427.61,409.89,116.83,198.18,776.41,558.5,320.34,285.87,255.47,350.06,276.09,325.24,281.19,381.93,127.87,421.53,409.09,466.53,260.25,613.3,78.95,140.36,154.17,233.79,239.36,513.06,470.39,562.56,502.54,408.47,343.03,178.15,0.0,478.3,308.74,393.25,317.28
London,65.2,233.18,207.44,68.1,56.84,391.51,268.25,191.08,163.77,321.49,338.25,89.0,144.79,58.3,195.4,451.14,281.03,343.53,80.2,194.53,264.23,299.49,177.72,223.93,308.88,319.85,102.79,382.49,56.84,69.25,213.22,272.96,305.58,402.8,342.21,328.7,245.83,243.49,257.98,275.42,326.45,195.4,260.7,152.62,319.08,478.3,0.0,171.85,105.27,161.08
Munich,117.64,70.87,35.61,106.07,115.32,219.77,96.69,59.44,148.88,283.8,306.9,127.51,96.46,118.92,159.01,281.21,116.39,499.0,251.58,69.92,127.12,151.34,86.25,65.21,239.01,225.21,73.3,211.4,115.32,104.13,254.23,160.24,360.07,235.98,178.29,157.09,85.04,71.65,271.77,254.31,340.45,232.85,248.86,47.88,148.29,308.74,171.85,0.0,113.36,21.19
Bremen,44.11,150.9,144.12,82.57,67.2,315.62,202.43,101.44,65.38,227.33,246.83,133.16,153.9,91.55,223.26,386.38,196.09,391.08,178.22,170.05,236.91,264.13,170.05,178.34,206.3,214.75,88.83,315.06,67.2,57.67,152.35,168.76,386.02,315.09,253.33,253.76,160.82,176.65,317.91,318.64,389.56,262.43,173.41,127.08,254.39,393.25,105.27,113.36,0.0,93.69
Nuremberg,102.79,73.3,50.98,98.58,104.26,231.36,111.27,46.39,127.78,265.66,288.53,128.03,106.7,112.04,173.08,296.43,120.99,481.91,241.27,89.53,148.3,172.1,102.54,85.96,223.19,212.33,69.54,225.82,104.26,92.0,233.05,148.83,369.37,242.48,182.9,168.47,86.83,85.55,283.98,269.58,353.69,241.53,228.8,60.02,163.47,317.28,161.08,21.19,93.69,0.0
