City,Amsterdam,Salzburg,Sofia,Zagreb,Prague,Copenhagen,Helsinki,Paris,Lyon,Athens,Budapest,Dublin,Milan,Rome,Venice,Luxembourg,Rotterdam,Oslo,Lisbon,Bucharest,Belgrade,Bratislava,Madrid,Seville,Zurich,Sarajevo,Istanbul,London,Munich,Nuremberg
Luxembourg,6.89,11.44,30.95,17.75,11.88,15.82,34.77,6.37,6.91,36.98,20.03,19.17,10.09,17.58,12.85,0.0,5.34,25.55,32.95,32.8,24.35,16.52,24.81,32.39,5.41,23.04,40.51,10.9,7.78,7.38
Rotterdam,2.65,16.01,35.51,22.48,14.46,14.05,33.28,7.35,11.34,41.97,23.82,14.53,15.43,22.92,18.05,5.34,0.0,22.07,33.86,36.73,28.85,20.1,27.04,34.6,10.75,27.91,44.71,6.03,12.23,11.06
Oslo,19.48,29.33,43.71,34.37,22.8,11.3,15.7,29.41,32.46,52.32,31.06,26.18,33.82,40.45,33.74,25.55,22.07,0.0,55.0,41.3,37.97,28.08,49.05,56.57,29.48,39.39,49.49,22.62,26.97,24.72
Lisbon,36.47,40.19,54.78,43.67,44.1,47.88,67.13,26.98,27.96,56.03,49.08,31.8,32.85,34.75,37.44,32.95,33.86,55.0,0.0,59.51,49.81,46.67,10.64,8.39,33.12,46.46,65.06,32.41,38.19,39.18
Bucharest,36.15,21.53,6.67,16.17,22.76,31.95,35.98,38.36,33.57,14.41,12.92,51.22,27.29,25.02,22.52,32.8,36.73,41.3,59.51,0.0,9.7,16.66,49.0,54.89,29.07,13.22,8.37,42.73,25.03,25.72
Belgrade,28.75,12.92,6.67,6.79,16.31,27.3,36.59,29.42,24.22,14.41,6.92,43.34,17.76,15.45,13.01,24.35,28.85,37.97,49.81,9.7,0.0,10.13,39.31,45.31,20.05,3.96,16.35,34.87,16.66,17.87
Bratislava,19.49,6.47,16.5,6.92,6.3,17.21,28.91,22.52,18.91,24.52,3.78,34.57,14.08,16.5,10.26,16.52,20.1,28.08,46.67,16.66,10.13,0.0,36.84,43.79,13.84,11.35,24.8,26.08,9.02,9.21
Madrid,29.68,30.37,44.15,33.33,35.0,40.49,59.58,19.7,18.82,45.47,38.99,29.57,22.8,24.14,27.22,24.81,27.04,49.05,10.64,49.0,39.31,36.84,0.0,7.6,23.81,35.88,54.42,27.36,28.83,30.12
Seville,37.24,37.39,49.6,39.74,42.35,48.1,67.17,27.28,26.27,49.78,45.68,35.99,29.71,29.88,33.87,32.39,34.6,56.57,8.39,54.89,45.31,43.79,7.6,0.0,31.17,41.67,59.67,34.63,36.11,37.52
Zurich,12.07,7.66,26.48,13.27,11.19,18.84,36.78,9.38,5.16,31.95,16.85,24.24,4.76,12.22,7.69,5.41,10.75,29.48,33.12,29.07,20.05,13.84,23.81,31.17,0.0,18.24,36.39,16.19,5.08,6.37
Sarajevo,28.17,11.99,8.58,5.54,16.9,28.36,39.39,27.53,21.87,14.11,9.13,42.2,15.22,11.81,10.69,23.04,27.91,39.39,46.46,13.22,3.96,11.35,35.88,41.67,18.24,0.0,18.9,33.85,15.73,17.34
Istanbul,44.28,29.09,10.34,23.15,31.0,40.32,43.06,45.76,40.53,12.39,21.02,59.24,33.98,30.32,29.29,40.51,44.71,49.49,65.06,8.37,16.35,24.8,54.42,59.67,36.39,18.9,0.0,50.74,32.75,33.66
London,6.92,22.0,41.53,28.45,20.27,17.37,35.88,9.44,15.36,47.85,29.81,8.51,20.63,28.03,23.75,10.9,6.03,22.62,32.41,42.73,34.87,26.08,27.36,34.63,16.19,33.85,50.74,0.0,18.23,17.09
Munich,12.48,3.78,23.31,10.26,6.3,15.79,32.55,13.53,10.23,29.83,12.35,26.69,7.42,13.48,6.92,7.78,12.23,26.97,38.19,25.03,16.66,9.02,28.83,36.11,5.08,15.73,32.75,18.23,0.0,2.25
Nuremberg,10.9,5.41,24.54,11.8,4.92,13.55,30.61,13.58,11.32,31.44,12.83,25.59,9.5,15.73,9.12,7.38,11.06,24.72,39.18,25.72,17.87,9.21,30.12,37.52,6.37,17.34,33.66,17.09,2.25,0.0
