City,Amsterdam,Salzburg,Sofia,Zagreb,Prague,Copenhagen,Helsinki,Paris,Lyon,Athens,Budapest,Dublin,Milan,Rome,Venice,Luxembourg,Rotterdam,Oslo,Lisbon,Bucharest,Belgrade,Bratislava,Madrid,Seville,Zurich,Sarajevo,Istanbul,London,Munich,Nuremberg
Rome,182.18,87.73,150.36,79.37,139.47,219.65,336.57,147.41,99.25,168.98,127.91,267.1,56.23,0.0,52.08,132.03,172.09,303.75,260.95,187.9,116.02,123.92,181.25,224.33,91.76,88.68,227.7,210.46,101.25,118.12
Venice,141.56,35.73,143.7,47.72,87.39,168.75,285.02,126.59,84.47,182.14,88.69,239.64,35.8,52.08,0.0,96.51,135.53,253.33,281.14,169.13,97.71,77.02,204.4,254.37,57.76,80.25,219.91,178.36,51.94,68.47
Luxembourg,51.75,85.9,232.43,133.26,89.24,118.8,261.11,47.8,51.89,277.69,150.42,143.96,75.8,132.03,96.51,0.0,40.12,191.85,247.42,246.28,182.82,124.04,186.26,243.24,40.61,172.99,304.22,81.87,58.39,55.39
Rotterdam,19.88,120.22,266.64,168.81,108.57,105.51,249.88,55.16,85.14,315.13,178.85,109.12,115.86,172.09,135.53,40.12,0.0,165.74,254.29,275.83,216.61,150.95,203.03,259.83,80.7,209.59,335.75,45.27,91.85,83.05
Oslo,146.25,220.27,328.2,258.1,171.18,84.86,117.92,220.84,243.74,392.87,233.21,196.6,253.93,303.75,253.33,191.85,165.74,0.0,413.0,310.1,285.12,210.85,368.32,424.77,221.37,295.75,371.6,169.83,202.5,185.62
Lisbon,273.84,301.81,411.31,327.92,331.16,359.53,504.07,202.56,209.98,420.76,368.54,238.8,246.69,260.95,281.14,247.42,254.29,413.0,0.0,446.84,374.03,350.41,79.91,62.98,248.67,348.84,488.5,243.4,286.8,294.21
Bucharest,271.43,161.65,50.08,121.46,170.88,239.92,270.19,288.04,252.07,108.2,96.99,384.64,204.93,187.9,169.13,246.28,275.83,310.1,446.84,0.0,72.82,125.12,367.91,412.2,218.3,99.25,62.89,320.84,187.96,193.14
Belgrade,215.88,96.99,50.08,51.01,122.47,204.98,274.76,220.93,181.85,108.2,51.99,325.47,133.36,116.02,97.71,182.82,216.61,285.12,374.03,72.82,0.0,76.1,295.18,340.24,150.55,29.73,122.8,261.82,125.12,134.19
Bratislava,146.38,48.62,123.92,51.94,47.34,129.2,217.12,169.11,142.01,184.14,28.36,259.56,105.75,123.92,77.02,124.04,150.95,210.85,350.41,125.12,76.1,0.0,276.61,328.85,103.92,85.2,186.21,195.81,67.73,69.16
Madrid,222.84,228.07,331.56,250.28,262.78,304.07,447.35,147.93,141.29,341.46,292.77,222.07,171.24,181.25,204.4,186.26,203.03,368.32,79.91,367.91,295.18,276.61,0.0,57.1,178.77,269.45,408.66,205.48,216.47,226.19
Seville,279.67,280.76,372.43,298.37,317.99,361.16,504.35,204.83,197.26,373.82,343.04,270.26,223.11,224.33,254.37,243.24,259.83,424.77,62.98,412.2,340.24,328.85,57.1,0.0,234.03,312.9,448.09,260.02,271.17,281.72
Zurich,90.6,57.53,198.81,99.61,84.0,141.44,276.21,70.43,38.72,239.9,126.49,182.03,35.73,91.76,57.76,40.61,80.7,221.37,248.67,218.3,150.55,103.92,178.77,234.03,0.0,136.94,273.23,121.56,38.13,47.81
Sarajevo,211.55,90.05,64.44,41.57,126.89,212.92,295.75,206.69,164.23,105.95,68.54,316.87,114.27,88.68,80.25,172.99,209.59,295.75,348.84,99.25,29.73,85.2,269.45,312.9,136.94,0.0,141.9,254.15,118.12,130.21
Istanbul,332.48,218.46,77.67,173.8,232.78,302.73,323.34,343.58,304.33,93.06,157.85,444.86,255.15,227.7,219.91,304.22,335.75,371.6,488.5,62.89,122.8,186.21,408.66,448.09,273.23,141.9,0.0,380.97,245.91,252.72
London,51.94,165.23,311.84,213.66,152.2,130.44,269.42,70.89,115.33,359.34,223.85,63.88,154.95,210.46,178.36,81.87,45.27,169.83,243.4,320.84,261.82,195.81,205.48,260.02,121.56,254.15,380.97,0.0,136.88,128.3
Munich,93.7,28.36,175.05,77.02,47.34,118.59,244.45,101.57,76.83,223.99,92.71,200.39,55.7,101.25,51.94,58.39,91.85,202.5,286.8,187.96,125.12,67.73,216.47,271.17,38.13,118.12,245.91,136.88,0.0,16.87
Nuremberg,81.87,40.61,184.28,88.63,36.95,101.78,229.82,101.98,84.99,236.11,96.37,192.17,71.31,118.12,68.47,55.39,83.05,185.62,294.21,193.14,134.19,69.16,226.19,281.72,47.81,130.21,252.72,128.3,16.87,0.0
