City,Amsterdam,Salzburg,Sofia,Zagreb,Prague,Copenhagen,Helsinki,Paris,Lyon,Athens,Budapest,Dublin,Milan,Rome,Venice,Luxembourg,Rotterdam,Oslo,Lisbon,Bucharest,Belgrade,Bratislava,Madrid,Seville,Zurich,Sarajevo,Istanbul,London,Munich,Nuremberg
Oslo,2.13,3.21,4.79,3.77,2.5,1.24,1.72,3.22,3.56,5.73,3.4,2.87,3.71,4.43,3.7,2.8,2.42,0.0,6.03,4.53,4.16,3.08,5.38,6.2,3.23,4.32,5.42,2.48,2.96,2.71
Lisbon,4.0,4.4,6.0,4.79,4.83,5.25,7.36,2.96,3.06,6.14,5.38,3.49,3.6,3.81,4.1,3.61,3.71,6.03,0.0,6.52,5.46,5.11,1.17,0.92,3.63,5.09,7.13,3.55,4.19,4.29
Bucharest,3.96,2.36,0.73,1.77,2.49,3.5,3.94,4.2,3.68,1.58,1.42,5.61,2.99,2.74,2.47,3.59,4.03,4.53,6.52,0.0,1.06,1.83,5.37,6.02,3.19,1.45,0.92,4.68,2.74,2.82
Belgrade,3.15,1.42,0.73,0.74,1.79,2.99,4.01,3.22,2.65,1.58,0.76,4.75,1.95,1.69,1.43,2.67,3.16,4.16,5.46,1.06,0.0,1.11,4.31,4.97,2.2,0.43,1.79,3.82,1.83,1.96
Bratislava,2.14,0.71,1.81,0.76,0.69,1.89,3.17,2.47,2.07,2.69,0.41,3.79,1.54,1.81,1.12,1.81,2.2,3.08,5.11,1.83,1.11,0.0,4.04,4.8,1.52,1.24,2.72,2.86,0.99,1.01
Madrid,3.25,3.33,4.84,3.65,3.84,4.44,6.53,2.16,2.06,4.98,4.27,3.24,2.5,2.65,2.98,2.72,2.96,5.38,1.17,5.37,4.31,4.04,0.0,0.83,2.61,3.93,5.96,3.0,3.16,3.3
Seville,4.08,4.1,5.44,4.35,4.64,5.27,7.36,2.99,2.88,5.46,5.01,3.94,3.26,3.27,3.71,3.55,3.79,6.2,0.92,6.02,4.97,4.8,0.83,0.0,3.42,4.57,6.54,3.79,3.96,4.11
Zurich,1.32,0.84,2.9,1.45,1.23,2.06,4.03,1.03,0.57,3.5,1.85,2.66,0.52,1.34,0.84,0.59,1.18,3.23,3.63,3.19,2.2,1.52,2.61,3.42,0.0,2.0,3.99,1.77,0.56,0.7
Sarajevo,3.09,1.31,0.94,0.61,1.85,3.11,4.32,3.02,2.4,1.55,1.0,4.62,1.67,1.29,1.17,2.52,3.06,4.32,5.09,1.45,0.43,1.24,3.93,4.57,2.0,0.0,2.07,3.71,1.72,1.9
Istanbul,4.85,3.19,1.13,2.54,3.4,4.42,4.72,5.01,4.44,1.36,2.3,6.49,3.72,3.32,3.21,4.44,4.9,5.42,7.13,0.92,1.79,2.72,5.96,6.54,3.99,2.07,0.0,5.56,3.59,3.69
London,0.76,2.41,4.55,3.12,2.22,1.9,3.93,1.03,1.68,5.24,3.27,0.93,2.26,3.07,2.6,1.19,0.66,2.48,3.55,4.68,3.82,2.86,3.0,3.79,1.77,3.71,5.56,0.0,2.0,1.87
Munich,1.37,0.41,2.55,1.12,0.69,1.73,3.57,1.48,1.12,3.27,1.35,2.92,0.81,1.48,0.76,0.85,1.34,2.96,4.19,2.74,1.83,0.99,3.16,3.96,0.56,1.72,3.59,2.0,0.0,0.25
Nuremberg,1.19,0.59,2.69,1.29,0.54,1.49,3.35,1.49,1.24,3.45,1.41,2.8,1.04,1.72,1.0,0.81,1.21,2.71,4.29,2.82,1.96,1.01,3.3,4.11,0.7,1.9,3.69,1.87,0.25,0.0
